l_hs 	m_s 	T_c^EX 	v_h^EX 	v_s^EX 	T1_c^PT 	v1_h^T 	v1_s^T 	v1_h^F 	v1_s^F
0.4	76.6667	48.6696	229.956	245.118	48.6696	229.956	-4.49587e-06	-8.70673e-07	-245.118	
0.4	77.5	53.2594	226.653	241.597	53.2575	226.655	1.22327e-06	-5.28799e-06	-241.598	
0.4	78.3333	57.5278	223.265	237.986	57.5278	223.265	1.69956e-05	-3.69054e-06	-237.986	
0.4	79.1667	61.5418	219.788	234.279	61.5418	219.788	-2.08237e-05	-1.55999e-05	-234.279	
0.4	80	65.3482	216.216	230.472	65.3482	216.216	1.84758e-05	-7.38741e-06	-230.472	
0.4	80.8333	68.9815	212.547	226.561	68.9815	212.547	1.74429e-05	-2.17075e-05	-226.561	
0.4	81.6667	72.4677	208.774	222.539	72.4677	208.774	-1.17617e-06	1.68426e-05	-222.539	
0.4	82.5	75.827	204.892	218.401	75.827	204.892	-1.70753e-05	9.40542e-06	-218.401	
0.4	83.3333	79.0757	200.894	214.139	79.0757	200.894	4.39441e-05	-9.01065e-06	-214.139	
0.4	84.1667	82.2269	196.773	209.747	82.2269	196.773	1.82319e-05	6.62934e-06	-209.747	
0.4	85	85.2913	192.522	205.216	85.2913	192.522	7.10015e-06	-6.06292e-06	-205.216	
0.4	85.8333	88.278	188.132	200.536	88.278	188.132	3.61049e-06	3.83158e-06	-200.536	
0.4	86.6667	91.1947	183.593	195.697	91.1947	183.593	-5.24097e-06	8.71984e-06	-195.697	
0.4	87.5	94.0478	178.892	190.687	94.0478	178.892	-1.21857e-05	-1.38067e-05	-190.687	
0.4	88.3333	96.843	174.018	185.492	96.8416	174.021	-8.52485e-06	-7.60044e-06	-185.492	
0.4	89.1667	99.5852	168.955	180.095	99.5852	168.955	3.25881e-05	-2.14079e-05	-180.095	
0.4	90	102.279	163.686	174.479	102.279	163.686	-2.93695e-05	-6.33456e-06	-174.479	
0.4	90.8333	104.927	158.191	168.621	104.927	-158.191	-2.4947e-05	-1.8091e-05	-168.62	
0.4	91.6667	107.534	152.443	162.494	107.534	-152.443	2.84093e-05	-2.47832e-05	-162.494	
0.4	92.5	110.101	146.415	156.068	110.101	-146.415	-2.91456e-06	-1.84339e-05	-156.068	
0.4	93.3333	112.633	140.069	149.304	112.633	-140.069	1.93314e-06	-5.68223e-06	-149.304	
0.4	94.1667	115.131	133.361	142.154	115.131	133.361	-1.74153e-05	1.22125e-05	-142.154	
0.4	95	117.598	126.233	134.555	117.598	-126.232	2.60019e-06	4.28731e-06	-134.555	
0.4	95.8333	120.035	118.608	126.428	120.035	-118.608	-2.70132e-05	-1.79101e-05	-126.428	
0.4	96.6667	122.444	110.384	117.662	122.444	-110.384	-2.83746e-05	-1.85377e-05	-117.662	
0.4	97.5	124.827	101.416	108.103	124.827	101.416	4.09822e-06	-1.66938e-05	-108.103	
0.4	98.3333	127.185	91.4851	97.517	127.185	-91.485	-1.1811e-05	-1.82401e-06	-97.517	
0.4	99.1667	129.52	80.2339	85.524	129.52	-80.2338	1.87941e-05	-5.09977e-06	-85.5239	
0.4	100	131.832	67.0009	71.4185	131.832	-67.0009	8.45693e-05	-2.38166e-05	-71.4185	
0.4	100.833	134.124	50.2441	53.5569	134.124	-50.2441	2.99547e-05	2.20085e-05	-53.5569	
0.4	101.667	136.395	23.3134	24.8505	136.39	-23.4039	1.74179e-06	-8.15865e-06	-24.8747	
0.406667	74.1667	16.1821	244.277	260.383	16.1821	-244.277	3.85757e-05	-2.22338e-05	-260.383	
0.406667	75	26.7572	241.26	257.167	26.7572	-241.26	-4.53822e-06	-9.98315e-06	-257.167	
0.406667	75.8333	34.2799	238.171	253.874	34.2799	-238.171	2.92775e-05	8.71635e-06	-253.874	
0.406667	76.6667	40.4888	235.006	250.5	40.4888	-235.006	-1.96021e-05	-2.02271e-05	-250.5	
0.406667	77.5	45.9201	231.762	247.043	45.9201	-231.762	2.23901e-05	2.37891e-05	-247.043	
0.406667	78.3333	50.8236	228.437	243.499	50.8236	228.437	-2.05522e-05	-1.01324e-07	-243.499	
0.406667	79.1667	55.3398	225.026	239.863	55.3398	225.026	-4.06293e-06	1.72007e-05	-239.863	
0.406667	80	59.5569	221.526	236.132	59.5569	221.526	-5.08334e-05	1.87975e-07	-236.132	
0.406667	80.8333	63.5345	217.932	232.301	63.5345	217.932	4.50502e-06	-2.41073e-06	-232.301	
0.406667	81.6667	67.315	214.24	228.365	67.315	214.24	5.15647e-06	3.88728e-06	-228.365	
0.406667	82.5	70.93	210.444	224.319	70.93	210.444	1.30445e-05	6.73142e-06	-224.319	
0.406667	83.3333	74.4035	206.538	220.156	74.4035	206.538	-4.94978e-05	-9.32485e-07	220.156	
0.406667	84.1667	77.7546	202.517	215.87	77.7546	202.517	-4.06939e-06	8.96523e-06	-215.87	
0.406667	85	80.9985	198.373	211.453	80.9985	198.373	1.56512e-05	-5.95851e-06	-211.453	
0.406667	85.8333	84.1475	194.099	206.897	84.1475	194.099	2.13719e-06	1.15101e-05	-206.897	
0.406667	86.6667	87.2119	189.685	202.192	87.2119	189.685	-1.34079e-06	-3.34299e-06	-202.192	
0.406667	87.5	90.2004	185.122	197.328	90.2004	185.122	-1.705e-05	-2.72134e-05	-197.328	
0.406667	88.3333	93.1202	180.398	192.292	93.1202	180.398	6.84372e-06	-1.67475e-06	-192.292	
0.406667	89.1667	95.9777	175.5	187.072	95.9765	175.503	-1.85363e-05	3.1352e-05	-187.072	
0.406667	90	98.7782	170.414	181.65	98.7723	170.425	-2.022e-05	2.99538e-06	-181.653	
0.406667	90.8333	101.526	165.122	176.009	101.526	165.122	2.5534e-07	1.94292e-05	-176.009	
0.406667	91.6667	104.227	159.603	170.126	104.227	159.603	-3.16493e-06	-3.82004e-06	170.126	
0.406667	92.5	106.882	153.833	163.975	106.882	153.833	3.27376e-05	2.19648e-05	-163.975	
0.406667	93.3333	109.497	147.782	157.526	109.497	147.782	-2.08593e-05	-2.52727e-06	-157.526	
0.406667	94.1667	112.073	141.416	150.74	112.073	141.415	-1.63619e-05	-2.324e-05	-150.74	
0.406667	95	114.613	134.688	143.568	114.613	134.687	2.11595e-05	-9.08819e-06	-143.568	
0.406667	95.8333	117.12	127.541	135.95	117.12	127.541	-3.61786e-05	-2.46164e-06	-135.95	
0.406667	96.6667	119.596	119.902	127.807	119.596	-119.901	2.02353e-05	1.02342e-05	-127.807	
0.406667	97.5	122.042	111.668	119.03	122.042	-111.668	7.92931e-06	3.98559e-06	-119.03	
0.406667	98.3333	124.46	102.697	109.468	124.46	-102.696	-7.12719e-06	4.19412e-05	-109.468	
0.406667	99.1667	126.852	92.7747	98.8916	126.852	-92.7745	-2.204e-06	-1.48913e-05	-98.8915	
0.406667	100	129.22	81.5556	86.9328	129.22	-81.5554	-5.26201e-05	2.92105e-06	-86.9328	
0.406667	100.833	131.564	68.4042	72.9143	131.564	-68.404	-3.59094e-05	4.37007e-05	-72.9142	
0.406667	101.667	133.887	51.8707	55.2907	133.887	-51.8706	4.49623e-06	7.49074e-06	-55.2907	
0.406667	102.5	136.188	26.1849	27.9114	136.18	-26.3167	3.40163e-05	-5.61964e-06	-27.947	
0.413333	75.8333	20.9671	243.099	259.127	20.9671	-243.099	-1.8696e-05	1.2211e-05	-259.127	
0.413333	76.6667	30.0887	239.987	255.81	30.0887	-239.987	1.43794e-05	3.40687e-05	-255.81	
0.413333	77.5	37.0962	236.799	252.412	37.0962	236.799	-4.9246e-05	4.33031e-06	-252.412	
0.413333	78.3333	43.0351	233.533	248.931	43.0351	233.533	5.76184e-06	-6.87634e-06	-248.931	
0.413333	79.1667	48.3011	230.185	245.362	48.3011	230.185	2.76579e-05	2.51084e-06	-245.362	
0.413333	80	53.0949	226.751	241.701	53.0929	226.753	-1.37487e-06	9.83087e-06	-241.702	
0.413333	80.8333	57.5346	223.228	237.946	57.5346	223.228	-2.51855e-05	-4.54109e-05	-237.946	
0.413333	81.6667	61.6966	219.61	234.09	61.6966	219.61	2.03992e-05	-1.19355e-05	234.09	
0.413333	82.5	65.6339	215.894	230.129	65.6339	215.894	2.39459e-05	1.29968e-05	-230.129	
0.413333	83.3333	69.3847	212.075	226.057	69.3847	212.075	-1.77028e-05	-3.7097e-06	-226.057	
0.413333	84.1667	72.9778	208.145	221.869	72.9778	208.145	7.93986e-08	-5.095e-06	-221.869	
0.413333	85	76.4354	204.1	217.557	76.4354	204.1	4.18193e-06	-1.42735e-05	-217.557	
0.413333	85.8333	79.7751	199.932	213.114	79.7751	199.932	-3.38833e-05	1.79276e-05	-213.114	
0.413333	86.6667	83.0111	195.633	208.532	83.0111	195.633	2.38964e-05	-2.81999e-07	-208.532	
0.413333	87.5	86.1553	191.195	203.801	86.1553	191.195	-3.83056e-06	1.57465e-05	-203.801	
0.413333	88.3333	89.2171	186.607	198.91	89.2171	186.607	-1.3896e-05	7.88759e-07	-198.91	
0.413333	89.1667	92.2049	181.858	193.849	92.2049	181.858	4.42998e-05	7.03403e-06	-193.849	
0.413333	90	95.1257	176.936	188.601	95.1247	176.937	8.03018e-06	-2.00073e-05	-188.602	
0.413333	90.8333	97.9854	171.824	183.153	97.9797	171.835	-1.51068e-05	3.12399e-05	-183.156	
0.413333	91.6667	100.789	166.507	177.485	100.789	166.507	-2.41858e-05	-2.20151e-05	-177.485	
0.413333	92.5	103.542	160.963	171.576	103.542	160.963	2.13251e-05	-1.41605e-05	-171.576	
0.413333	93.3333	106.247	155.168	165.399	106.247	155.168	-1.74425e-05	-9.14322e-06	-165.399	
0.413333	94.1667	108.908	149.093	158.923	108.912	149.084	-1.70151e-05	2.10058e-05	-158.921	
0.413333	95	111.529	142.703	152.111	111.534	142.69	-1.98578e-06	-3.09184e-06	-152.108	
0.413333	95.8333	114.111	135.952	144.915	114.117	135.937	-1.22799e-05	2.13063e-05	-144.911	
0.413333	96.6667	116.659	128.784	137.275	116.664	-128.768	-2.94046e-05	-4.44458e-06	-137.27	
0.413333	97.5	119.173	121.125	129.111	119.178	-121.108	-9.3337e-06	-8.78703e-07	-129.106	
0.413333	98.3333	121.656	112.875	120.317	121.661	-112.859	-6.985e-06	-2.8552e-05	-120.312	
0.413333	99.1667	124.111	103.893	110.743	124.114	-103.878	-1.70775e-05	3.70581e-05	-110.739	
0.413333	100	126.537	93.9703	100.166	126.537	-93.9699	3.4211e-06	1.66002e-05	-100.166	
0.413333	100.833	128.938	82.7687	88.2258	128.938	-82.7683	-4.14213e-06	1.93603e-05	-88.2257	
0.413333	101.667	131.314	69.6739	74.2677	131.314	69.6735	-4.34951e-05	-1.05265e-05	-74.2676	
0.413333	102.5	133.667	53.3087	56.8235	133.667	-53.3084	9.9571e-07	1.25757e-05	-56.8234	
0.413333	103.333	135.998	28.5089	30.3886	135.998	-28.5087	-2.29335e-07	-5.37551e-08	-30.3885	
0.42	76.6667	12.9087	244.904	261.051	12.9087	244.904	6.37187e-06	-1.65907e-05	-261.051	
0.42	77.5	25.2771	241.769	257.709	25.2771	241.769	4.75118e-06	-7.27325e-06	-257.709	
0.42	78.3333	33.4117	238.558	254.287	33.4117	238.558	-1.70389e-05	2.943e-06	254.287	
0.42	79.1667	39.9856	235.269	250.781	39.9856	235.269	-8.51131e-06	-2.77983e-05	-250.781	
0.42	80	45.6779	231.897	247.187	45.6779	231.897	-3.03151e-06	-1.49362e-05	-247.187	
0.42	80.8333	50.7858	228.44	243.502	50.7858	228.44	-1.70512e-05	-1.39679e-06	-243.502	
0.42	81.6667	55.4709	224.893	239.721	55.4709	224.893	1.17665e-05	5.91257e-06	239.721	
0.42	82.5	59.8328	221.251	235.839	59.8328	221.251	-1.28385e-05	-1.67427e-05	-235.839	
0.42	83.3333	63.9375	217.511	231.852	63.9375	217.511	4.96128e-05	-1.82931e-06	-231.852	
0.42	84.1667	67.8318	213.667	227.755	67.8318	213.667	-1.94097e-05	-3.17788e-05	-227.755	
0.42	85	71.55	209.713	223.54	71.55	209.713	1.70587e-05	1.83977e-05	-223.54	
0.42	85.8333	75.1183	205.643	219.202	75.1183	205.643	-2.25255e-05	2.26767e-05	-219.202	
0.42	86.6667	78.5571	201.45	214.732	78.5571	201.45	1.90474e-05	7.48683e-06	-214.732	
0.42	87.5	81.8828	197.126	210.123	81.8828	197.126	-2.40977e-06	1.32874e-05	210.123	
0.42	88.3333	85.1086	192.662	205.364	85.1086	192.662	4.29919e-05	6.58689e-07	-205.364	
0.42	89.1667	88.2454	188.048	200.446	88.2454	188.048	-2.1375e-05	-6.43561e-06	-200.446	
0.42	90	91.3025	183.273	195.357	91.3025	183.273	1.60076e-05	-1.50881e-05	-195.357	
0.42	90.8333	94.2875	178.324	190.082	94.2867	178.326	1.2625e-05	2.00063e-05	-190.082	
0.42	91.6667	97.2072	173.186	184.605	97.2019	173.196	2.98882e-05	-3.4848e-06	-184.608	
0.42	92.5	100.067	167.842	178.909	100.067	167.842	-1.25626e-06	-8.22852e-06	-178.909	
0.42	93.3333	102.873	162.272	172.971	102.873	162.272	1.79355e-05	1.63585e-05	-172.971	
0.42	94.1667	105.628	156.45	166.765	105.628	156.45	1.33774e-05	5.8523e-06	166.765	
0.42	95	108.336	150.348	160.261	108.34	150.339	-1.70083e-05	-1.33899e-05	-160.259	
0.42	95.8333	111.002	143.931	153.421	111.002	-143.931	-2.12191e-05	8.92095e-06	-153.421	
0.42	96.6667	113.627	137.154	146.197	113.627	137.154	4.56235e-05	-1.32391e-05	-146.197	
0.42	97.5	116.215	129.961	138.53	116.215	129.961	1.28242e-07	-4.32465e-05	-138.53	
0.42	98.3333	118.768	122.278	130.34	118.768	-122.278	-2.32714e-06	3.86745e-05	-130.34	
0.42	99.1667	121.289	114.007	121.523	121.296	-113.982	-1.99979e-06	-1.46723e-05	-121.517	
0.42	100	123.778	105.008	111.931	123.785	-104.984	-2.42105e-05	-4.63254e-06	-111.925	
0.42	100.833	126.239	95.0747	101.343	126.244	-95.0526	1.14298e-05	-5.72376e-07	-101.337	
0.42	101.667	128.673	83.8767	89.407	128.677	83.8568	-1.06253e-05	-1.68265e-05	-89.4015	
0.42	102.5	131.081	70.8161	75.4852	131.081	-70.8154	-2.16088e-05	1.42982e-06	-75.485	
0.42	103.333	133.465	54.5714	58.1694	133.465	-54.5708	-5.15411e-05	-2.20327e-05	-58.1693	
0.42	104.167	135.825	30.4082	32.4131	135.825	-30.4079	2.60326e-05	1.91437e-05	-32.413	
0.426667	78.3333	19.3896	243.518	259.573	19.3896	243.518	-1.95992e-05	1.78236e-05	-259.573	
0.426667	79.1667	29.326	240.284	256.126	29.326	240.284	-2.6134e-06	2.67877e-06	-256.126	
0.426667	80	36.7313	236.97	252.595	36.7313	236.97	2.05457e-05	3.54433e-06	-252.595	
0.426667	80.8333	42.9358	233.575	248.975	42.9358	233.575	-3.70301e-05	-2.8134e-05	-248.975	
0.426667	81.6667	48.4036	230.093	245.264	48.4036	230.093	2.50656e-06	-2.00313e-05	-245.264	
0.426667	82.5	53.3615	226.522	241.457	53.3597	226.523	6.58848e-06	4.47214e-06	-241.458	
0.426667	83.3333	57.9406	222.856	237.55	57.9406	222.856	-2.01038e-06	1.16174e-05	-237.55	
0.426667	84.1667	62.2246	219.091	233.536	62.2246	219.091	7.52027e-06	9.42976e-06	-233.536	
0.426667	85	66.2708	215.222	229.412	66.2708	215.222	-1.52066e-06	1.82547e-05	229.412	
0.426667	85.8333	70.1202	211.242	225.17	70.1202	-211.242	1.57318e-05	1.40742e-05	225.17	
0.426667	86.6667	73.8038	207.146	220.804	73.8038	-207.146	1.95035e-05	3.52684e-06	-220.804	
0.426667	87.5	77.3452	202.927	216.307	77.3452	202.927	-3.213e-06	2.4943e-07	-216.307	
0.426667	88.3333	80.7631	198.577	211.67	80.7631	198.577	3.05332e-06	1.87042e-05	-211.67	
0.426667	89.1667	84.0726	194.086	206.883	84.0726	194.086	-5.93436e-06	1.92587e-06	-206.883	
0.426667	90	87.286	189.446	201.936	87.286	189.446	1.02534e-05	-1.58588e-05	-201.936	
0.426667	90.8333	90.4135	184.643	196.818	90.4135	184.643	-2.04952e-06	4.13874e-06	-196.818	
0.426667	91.6667	93.4639	179.667	191.513	93.4632	179.668	-1.70773e-05	2.96923e-05	-191.513	
0.426667	92.5	96.4443	174.501	186.007	96.4392	174.51	-1.24247e-05	1.2366e-05	-186.009	
0.426667	93.3333	99.3611	169.129	180.28	99.3611	169.129	4.02043e-05	4.25558e-05	-180.28	
0.426667	94.1667	102.22	163.53	174.312	102.22	163.53	1.97427e-05	-4.21542e-05	-174.312	
0.426667	95	105.025	157.68	168.076	105.025	157.68	-6.14142e-06	9.74436e-07	-168.076	
0.426667	95.8333	107.781	151.549	161.541	107.781	151.549	7.95437e-06	2.87166e-06	-161.541	
0.426667	96.6667	110.492	145.103	154.67	110.492	-145.103	4.55102e-05	-4.90916e-05	-154.67	
0.426667	97.5	113.16	138.297	147.415	113.16	138.297	-2.08254e-05	3.27495e-05	-147.415	
0.426667	98.3333	115.789	131.074	139.717	115.789	131.074	-6.33502e-06	4.01175e-06	-139.717	
0.426667	99.1667	118.381	123.363	131.497	118.381	123.363	-3.04153e-06	-2.76065e-05	-131.497	
0.426667	100	120.938	115.065	122.652	120.938	-115.065	2.614e-05	-8.79304e-06	-122.652	
0.426667	100.833	123.464	106.042	113.034	123.464	106.042	6.36465e-06	-1.04936e-06	-113.034	
0.426667	101.667	125.959	96.0901	102.426	125.959	-96.0901	1.57188e-05	-1.75042e-05	-102.426	
0.426667	102.5	128.426	84.8829	90.4795	128.432	-84.8521	-4.20295e-06	-1.69912e-05	-90.4709	
0.426667	103.333	130.865	71.8356	76.5719	130.87	-71.8092	3.34131e-05	-1.61072e-05	-76.5646	
0.426667	104.167	133.28	55.669	59.3395	133.28	-55.668	-1.21974e-08	-7.69603e-06	-59.3392	
0.426667	105	135.67	31.9558	34.0628	135.67	-31.9552	-4.20166e-06	1.92719e-05	-34.0626	
0.433333	79.1667	10.7905	245.233	261.402	10.7905	245.233	4.61889e-06	1.66215e-05	-261.402	
0.433333	80	24.641	241.975	257.93	24.641	241.975	2.31778e-05	1.34517e-06	-257.93	
0.433333	80.8333	33.2124	238.638	254.372	33.2124	-238.638	2.02398e-05	7.01194e-06	-254.372	
0.433333	81.6667	40.051	235.218	250.727	40.051	-235.218	-9.89471e-06	2.14443e-06	-250.727	
0.433333	82.5	45.9374	231.712	246.99	45.9374	-231.712	-3.34802e-05	-7.46863e-06	-246.99	
0.433333	83.3333	51.201	228.116	243.156	51.201	-228.116	-4.85483e-06	-1.81671e-05	-243.156	
0.433333	84.1667	56.0177	224.424	239.221	56.0177	224.424	-5.2848e-06	-4.26339e-05	-239.221	
0.433333	85	60.4943	220.634	235.181	60.4943	220.634	-3.36671e-06	-3.99757e-07	-235.181	
0.433333	85.8333	64.7014	216.739	231.029	64.7014	216.739	1.43839e-06	2.4405e-06	-231.029	
0.433333	86.6667	68.6887	212.733	226.759	68.6886	212.733	-2.4394e-06	9.79568e-07	-226.759	
0.433333	87.5	72.4922	208.611	222.365	72.4922	-208.611	4.19002e-05	2.17158e-05	-222.365	
0.433333	88.3333	76.1397	204.365	217.839	76.1397	-204.365	-1.39591e-05	1.03216e-05	-217.839	
0.433333	89.1667	79.6525	199.987	213.173	79.6525	199.987	-1.85768e-06	-1.68762e-05	-213.173	
0.433333	90	83.0478	195.469	208.357	83.0478	195.469	1.0538e-05	1.17376e-05	-208.357	
0.433333	90.8333	86.3393	190.8	203.381	86.3393	190.8	4.7327e-06	-1.55185e-05	-203.381	
0.433333	91.6667	89.5386	185.97	198.232	89.5386	185.97	-2.20095e-05	2.98969e-06	-198.232	
0.433333	92.5	92.6552	180.965	192.896	92.6547	180.966	-4.30757e-05	6.75722e-06	-192.897	
0.433333	93.3333	95.6972	175.77	187.359	95.6924	175.778	2.97742e-06	1.92385e-05	-187.361	
0.433333	94.1667	98.6715	170.368	181.601	98.6715	170.368	-2.41197e-05	-1.40767e-05	-181.601	
0.433333	95	101.584	164.738	175.6	101.584	164.738	-1.01962e-05	9.45303e-08	175.6	
0.433333	95.8333	104.44	158.857	169.331	104.44	158.857	-1.9762e-06	2.22406e-05	-169.331	
0.433333	96.6667	107.244	152.695	162.763	107.244	152.695	6.14869e-06	-9.18692e-06	-162.763	
0.433333	97.5	109.999	146.218	155.858	110.005	146.205	-1.78891e-05	-1.06917e-05	155.854	
0.433333	98.3333	112.71	139.379	148.569	112.71	139.379	7.95103e-06	-4.50598e-06	-148.569	
0.433333	99.1667	115.38	132.125	140.837	115.38	-132.125	-1.71766e-05	1.18085e-05	-140.837	
0.433333	100	118.011	124.382	132.583	118.011	124.382	9.28419e-06	-1.31655e-05	132.583	
0.433333	100.833	120.606	116.052	123.704	120.606	116.052	3.37055e-06	2.46612e-05	-123.704	
0.433333	101.667	123.167	106.998	114.053	123.167	106.998	3.91542e-06	4.45909e-05	-114.053	
0.433333	102.5	125.697	97.0183	103.415	125.697	-97.0183	-1.57251e-05	-4.8352e-06	-103.415	
0.433333	103.333	128.196	85.7897	91.4461	128.196	-85.7897	-1.84597e-05	1.55793e-06	-91.4461	
0.433333	104.167	130.668	72.7364	77.5321	130.675	72.6964	1.30534e-06	-7.48146e-06	-77.5208	
0.433333	105	133.113	56.6097	60.3422	133.113	-56.6077	-2.40097e-06	1.56206e-06	-60.3416	
0.433333	105.833	135.532	33.1983	35.3871	135.533	-33.1971	-3.2552e-05	5.949e-06	-35.3868	
0.44	80.8333	18.9176	243.634	259.698	18.9176	243.634	1.61989e-05	9.32034e-07	-259.698	
0.44	81.6667	29.3344	240.272	256.114	29.3344	240.272	5.16279e-05	3.05751e-06	-256.114	
0.44	82.5	36.9905	236.828	252.442	36.9905	-236.828	2.27205e-05	-3.00127e-06	-252.442	
0.44	83.3333	43.3733	233.296	248.678	43.3733	-233.296	-1.8093e-05	2.30059e-05	-248.678	
0.44	84.1667	48.9831	229.674	244.817	48.9831	-229.674	-6.19736e-06	-2.08422e-05	-244.817	
0.44	85	54.061	225.957	240.855	54.061	225.957	-8.83131e-06	-1.94595e-05	-240.855	
0.44	85.8333	58.7453	222.141	236.787	58.7453	-222.141	1.78784e-05	-6.47954e-06	-236.787	
0.44	86.6667	63.1235	218.219	232.607	63.1235	218.219	2.1164e-05	6.94437e-06	-232.607	
0.44	87.5	67.2554	214.187	228.309	67.2554	214.187	-7.54201e-06	-4.05794e-06	-228.309	
0.44	88.3333	71.184	210.037	223.885	71.184	210.037	-6.6389e-06	-1.8007e-05	-223.885	
0.44	89.1667	74.9413	205.763	219.33	74.9413	-205.763	1.40583e-05	1.49034e-06	-219.33	
0.44	90	78.5518	201.358	214.634	78.5518	201.358	-4.44348e-06	-1.44694e-06	-214.634	
0.44	90.8333	82.0349	196.811	209.787	82.0349	196.811	-1.22556e-05	8.26765e-07	209.787	
0.44	91.6667	85.4062	192.113	204.78	85.4062	192.113	1.38764e-05	7.56068e-06	-204.78	
0.44	92.5	88.6785	187.253	199.599	88.6785	187.253	-1.51009e-05	-7.78513e-06	-199.599	
0.44	93.3333	91.8623	182.218	194.232	91.8619	182.218	1.54062e-06	-1.41193e-05	194.232	
0.44	94.1667	94.9665	176.992	188.662	94.962	177	-1.31293e-05	-1.4457e-05	-188.664	
0.44	95	97.9988	171.559	182.87	97.9988	171.559	-4.80235e-06	-6.9108e-06	-182.87	
0.44	95.8333	100.966	165.897	176.835	100.966	165.897	3.69301e-06	1.79711e-05	-176.836	
0.44	96.6667	103.872	159.984	170.532	103.872	159.984	1.42096e-06	-3.71006e-06	-170.532	
0.44	97.5	106.724	153.789	163.928	106.724	153.789	-2.28478e-05	-5.10887e-07	-163.928	
0.44	98.3333	109.525	147.277	156.987	109.53	147.265	3.28732e-06	2.84325e-05	-156.984	
0.44	99.1667	112.279	140.404	149.661	112.279	140.404	-6.76494e-06	-1.27981e-05	-149.661	
0.44	100	114.99	133.114	141.89	114.99	133.114	2.92882e-07	1.92617e-05	-141.89	
0.44	100.833	117.66	125.334	133.598	117.66	125.334	1.49497e-05	1.52675e-05	-133.598	
0.44	101.667	120.293	116.967	124.679	120.293	116.967	2.15848e-05	5.04054e-06	-124.679	
0.44	102.5	122.889	107.877	114.99	122.889	107.877	-1.69665e-05	4.64087e-06	-114.99	
0.44	103.333	125.453	97.861	104.313	125.453	-97.861	-1.57614e-05	2.02653e-05	-104.313	
0.44	104.167	127.986	86.5993	92.3091	127.986	-86.5993	4.94154e-05	-2.12974e-05	-92.3091	
0.44	105	130.489	73.5216	78.3691	130.489	-73.5216	1.85147e-06	-6.7036e-06	-78.3691	
0.44	105.833	132.964	57.3996	61.1842	132.97	-57.3528	4.26916e-05	9.52008e-07	-61.1708	
0.44	106.667	135.413	34.1662	36.4189	135.413	-34.1639	-2.35775e-06	-8.73308e-06	-36.4182	
0.446667	81.6667	10.5894	245.261	261.432	10.5894	245.261	-2.78403e-05	9.49701e-06	-261.432	
0.446667	82.5	24.9312	241.874	257.821	24.9312	241.874	1.94651e-05	-1.14733e-06	-257.821	
0.446667	83.3333	33.707	238.404	254.122	33.7071	-238.403	-1.09858e-05	8.74382e-06	-254.122	
0.446667	84.1667	40.6932	234.846	250.331	40.6932	-234.846	4.10348e-06	2.16081e-05	-250.331	
0.446667	85	46.6999	231.198	246.442	46.6999	-231.198	-9.57689e-07	-2.62732e-06	-246.442	
0.446667	85.8333	52.0672	227.455	242.452	52.0646	227.457	-2.034e-06	1.4512e-06	-242.452	
0.446667	86.6667	56.9761	223.611	238.355	56.9761	-223.611	-3.74521e-05	2.99636e-05	-238.355	
0.446667	87.5	61.5365	219.663	234.146	61.5365	-219.663	-1.55622e-05	3.17529e-05	-234.146	
0.446667	88.3333	65.8207	215.603	229.818	65.8207	215.603	2.12867e-05	-1.3118e-06	-229.818	
0.446667	89.1667	69.8797	211.425	225.365	69.8797	211.425	-1.6824e-05	-3.15162e-05	-225.365	
0.446667	90	73.7506	207.123	220.779	73.7506	207.123	-2.72772e-05	-4.56571e-06	-220.779	
0.446667	90.8333	77.4615	202.688	216.052	77.4615	-202.688	-1.47702e-05	-5.98577e-06	-216.052	
0.446667	91.6667	81.0346	198.112	211.174	81.0346	198.112	1.06199e-05	4.7169e-05	-211.174	
0.446667	92.5	84.4873	193.384	206.135	84.4873	193.384	2.46756e-05	-1.51148e-05	206.135	
0.446667	93.3333	87.8337	188.493	200.921	87.8337	188.493	1.67419e-05	1.47181e-06	-200.921	
0.446667	94.1667	91.0856	183.427	195.521	91.0854	183.427	-3.31349e-06	4.27449e-05	-195.521	
0.446667	95	94.2529	178.169	189.916	94.2485	178.176	-3.43234e-05	1.85958e-05	-189.918	
0.446667	95.8333	97.3436	172.703	184.09	97.3436	172.703	-1.71893e-05	-4.45711e-06	-184.09	
0.446667	96.6667	100.365	167.008	178.019	100.365	167.008	-4.74836e-07	-3.76912e-06	-178.019	
0.446667	97.5	103.323	161.06	171.679	103.323	161.06	7.20141e-06	-1.39217e-05	-171.679	
0.446667	98.3333	106.223	154.829	165.037	106.223	154.829	8.44919e-07	1.40863e-06	-165.037	
0.446667	99.1667	109.07	148.28	158.057	109.075	148.268	-1.2907e-05	3.10978e-05	-158.053	
0.446667	100	111.867	141.37	150.691	111.867	141.37	1.70877e-05	2.57636e-05	-150.691	
0.446667	100.833	114.619	134.041	142.879	114.619	134.041	-5.4343e-06	-8.68561e-06	-142.879	
0.446667	101.667	117.328	126.221	134.543	117.328	126.221	-9.92584e-06	-2.76196e-05	-134.543	
0.446667	102.5	119.997	117.813	125.581	119.997	-117.813	-1.37182e-05	1.25774e-05	-125.581	
0.446667	103.333	122.63	108.679	115.845	122.63	-108.679	7.38391e-06	-1.35664e-06	115.845	
